Precinct,Location,Address,City,State,Zip,Notes
6,Green Magnet Elementary,801 Lula Powell Dr,Knoxville,TN,,
9,Eternal Life Harvest Center,1801 Western Ave,Knoxville,TN,,
10N,Fort Sanders School,501 S Twenty First St,Knoxville,TN,,
10A/10W,Howard H. Baker Jr. Center,1640 Cumberland Ave,Knoxville,TN,,
11,Central United Methodist Church,201 Third Ave,Knoxville,TN,,
12,Phyllis Wheatley YWCA,1245 Cruze St,Knoxville,TN,,
13,Fair Garden School,400 Fern St,Knoxville,TN,,
14,Austin-East High School,2800 ML King Jr Ave,Knoxville,TN,,
15E/15W,John T. O'Connor Center,611 Winona St,Knoxville,TN,,
16E/16W/16X,Larry Cox Senior Recreation Center,3109 Ocoee Trl,Knoxville,TN,,
17,Christenberry Community Center,931 Oglewood Ave,Knoxville,TN,,
18,Lincoln Park Center,535 Chickamauga Ave,Knoxville,TN,,
19,Thrive Lonsdale,1317 Connecticut Ave,Knoxville,TN,,
20,Communications Workers of America,1415 Elm St,Knoxville,TN,37921,
23,WestView Elementary,1714 Mingle Ave,Knoxville,TN,,
24Q,Sequoyah Hills School,942 Southgate Rd,Knoxville,TN,,
25,South Knoxville Community Center,522 Maryville Pike,Knoxville,TN,,
26,Dogwood School,705 Tipton Ave,Knoxville,TN,,
27,South Knoxville Optimist Club,6135 Moore Rd,Knoxville,TN,,
29,Anderson Head Start,4808 Prospect Rd,Knoxville,TN,,
30,Sarah Moore Greene School,3001 Brooks Ave,Knoxville,TN,,
31,Chilhowee School,5005 Asheville Hwy,Knoxville,TN,,
32,Spring Hill Elementary School,4711 Mildred Dr,Knoxville,TN,,
33N/33S/33X,Richard Yeakley School,4415 Washington Pike,Knoxville,TN,,
34,Central High School,5321 Jacksboro Pike,Knoxville,TN,,
35,Shannondale Elementary School,5316 Shannondale Rd,Knoxville,TN,,
36,Gresham Middle School,500 Gresham Rd,Knoxville,TN,,
37,Inskip Elementary School,4701 High School Rd,Knoxville,TN,,
39E/39W,Inskip Recreation Center,301 W Inskip Dr,Knoxville,TN,,
40,Norwood Elementary School,1909 Merchant Dr,Knoxville,TN,,
41,Norwood Elementary School,1909 Merchant Dr,Knoxville,TN,,
42,Pleasant Ridge Elementary School,3013 Walnoaks Rd,Knoxville,TN,,
43,West Haven Elementary School,3620 Sisk Rd,Knoxville,TN,,
44,Ridgedale School,4600 Ridgedale Rd,Knoxville,TN,,
45,Bearden Middle School,1000 Francis Rd,Knoxville,TN,,
46,Knoxville First Church of Nazarene,538 Vanosdale Rd,Knoxville,TN,,
47N/47S,Bearden High School,8352 Kingston Pike,Knoxville,TN,,
48,Pond Gap School,4530 Papermill Dr,Knoxville,TN,,
49N/49S,Bearden Elementary School,5717 Kingston Pike,Knoxville,TN,,
50N/50S,West High School,3326 Sutherland Ave,Knoxville,TN,,
51,Deane Hill Recreation Center,7414 Deane Hill Dr,Knoxville,TN,,
